utterance,loglikelihood
words-BABEL-BP-101-90393-20111103-165919-outLine-305-05-312-55,-38.1872
words-BABEL-BP-101-90393-20111103-165919-outLine-312-55-321-35,-43.30778409090909
words-BABEL-BP-101-90393-20111103-165919-outLine-321-35-326-84,-49.16427777777778
words-BABEL-BP-101-90393-20111103-165919-outLine-326-84-332-17,-51.95222641509434
words-BABEL-BP-101-90393-20111103-165919-outLine-332-17-338-38,-43.70875806451613
words-BABEL-BP-101-90393-20111103-165919-outLine-338-38-342-44,-51.376999999999995
words-BABEL-BP-101-90393-20111103-165919-outLine-342-44-350-91,-45.25666666666667
words-BABEL-BP-101-90393-20111103-165919-outLine-354-56-361-91,-45.39219178082192
words-BABEL-BP-101-90393-20111103-165919-outLine-361-91-365-1,-42.771
words-BABEL-BP-101-90393-20111103-165919-outLine-365-1-378-47,-48.62553383458646
words-BABEL-BP-101-90393-20111103-165919-outLine-378-47-386-79,-50.11303614457831
words-BABEL-BP-101-90393-20111103-165919-outLine-386-79-394-75,-35.93469620253165
words-BABEL-BP-101-90393-20111103-165919-outLine-394-75-403-07,-36.62633734939759
words-BABEL-BP-101-90393-20111103-165919-outLine-403-07-406-64,-50.59374285714286
words-BABEL-BP-101-90393-20111103-165919-outLine-406-64-414-9,-52.205000000000005
words-BABEL-BP-101-90393-20111103-165919-outLine-414-9-418-88,-41.103358974358976
words-BABEL-BP-101-90393-20111103-165919-outLine-418-88-425-44,-50.547569230769234
words-BABEL-BP-101-90393-20111103-165919-outLine-425-44-433-05,-45.06138157894737
words-BABEL-BP-101-90393-20111103-165919-outLine-433-05-436-11,-47.20346666666667
words-BABEL-BP-101-90393-20111103-165919-outLine-436-11-440-22,-43.81204878048781
words-BABEL-BP-101-90393-20111103-165919-outLine-440-22-445-62,-46.750433962264154
words-BABEL-BP-101-90393-20111103-165919-outLine-445-62-451-53,-48.88594915254237
words-BABEL-BP-101-90393-20111103-165919-outLine-451-53-455-55,-40.37305
words-BABEL-BP-101-90393-20111103-165919-outLine-455-55-460-12,-54.76533333333334
words-BABEL-BP-101-90393-20111103-165919-outLine-460-12-465-95,-49.11906896551724
words-BABEL-BP-101-90393-20111103-165919-outLine-465-95-474-31,-44.40656626506024
words-BABEL-BP-101-90393-20111103-165919-outLine-474-31-480-59,-36.504225806451615
words-BABEL-BP-101-90393-20111103-165919-outLine-480-59-483-69,-33.45548387096774
words-BABEL-BP-101-90393-20111103-165919-outLine-483-69-492-6,-48.05641573033708
